day,strategy,price,sold,stock_left,total_revenue,strategy_name
0,static,100.0,90,410,9000.0,static
1,static,100.0,80,330,17000.0,static
2,static,100.0,125,205,29500.0,static
3,static,100.0,103,102,39800.0,static
4,static,100.0,102,0,50000.0,static
0,dynamic,100.0,118,382,11800.0,dynamic
1,dynamic,125.0,60,322,19300.0,dynamic
2,dynamic,125.0,74,248,28550.0,dynamic
3,dynamic,125.0,75,173,37925.0,dynamic
4,dynamic,125.0,75,98,47300.0,dynamic
5,dynamic,125.0,64,34,55300.0,dynamic
6,dynamic,125.0,34,0,59550.0,dynamic
0,advanced,100.0,93,407,9300.0,advanced
1,advanced,100.0,90,317,18300.0,advanced
2,advanced,115.0,88,229,28420.0,advanced
3,advanced,115.0,91,138,38885.0,advanced
4,advanced,150.0,59,79,47735.0,advanced
5,advanced,150.0,53,26,55685.0,advanced
6,advanced,150.0,26,0,59585.0,advanced
